Tipo de residuo;Comunidades y Ciudades Autónomas;Periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2018;1128714
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2017;1123413
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2016;1073045
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2015;1108156
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2014;1090966
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2013;1052980
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2012;1134763
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2011;1151544
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);05 Canarias;2010;1220612
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2021;244288
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2020;239966
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2019;246898
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2018;246839
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2017;240509
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2016;241085
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2015;240609
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2014;235816
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2013;236156
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2012;246177
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2011;259307
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);06 Cantabria;2010;259965
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2021;892278
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2020;882539
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2019;899205
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2018;915396
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2017;898486
